invoice_id,account_id,bill_date,vendor,amount_inr,needs_review,consumption_flag,missing_due_date_flag,consumption_missing_flag,consumption_spike_flag,consumption_anomaly_flag,amount_inr_anomaly_flag
TNE-0000000,ACC-00358,2024-03-05,tn_electricity,4611.04,False,False,,,,False,False
TNE-0000001,ACC-03096,2024-09-10,tn_electricity,2854.59,False,False,,,,False,False
TNE-0000002,ACC-02619,2025-06-08,tn_electricity,5656.46,False,False,,,,False,False
TNE-0000003,ACC-01756,2024-11-03,tn_electricity,2855.01,False,False,,,,False,False
TNE-0000004,ACC-01733,2024-05-03,tn_electricity,4360.16,False,False,,,,False,False
TNE-0000005,ACC-03435,2025-12-19,tn_electricity,4420.87,False,False,,,,False,False
TNE-0000006,ACC-00344,2024-05-24,tn_electricity,2438.21,False,False,,,,False,False
TNE-0000007,ACC-02790,2024-03-02,tn_electricity,2942.58,False,False,,,,False,False
TNE-0000008,ACC-00806,2024-10-05,tn_electricity,3586.26,False,False,,,,False,False
TNE-0000009,ACC-00377,2024-03-22,tn_electricity,6196.88,False,False,,,,False,False
TNE-0000010,ACC-02106,2025-03-08,tn_electricity,3002.8,False,False,,,,False,False
TNE-0000011,ACC-03903,2024-11-13,tn_electricity,2341.25,False,False,,,,False,False
TNE-0000012,ACC-02944,2025-11-07,tn_electricity,4229.87,False,False,,,,False,False
TNE-0000013,ACC-03045,2024-05-03,tn_electricity,2918.7,False,False,,,,False,False
TNE-0000014,ACC-02870,2024-07-15,tn_electricity,3793.17,False,False,,,,False,False
TNE-0000015,ACC-03145,2025-05-14,tn_electricity,2949.76,False,False,,,,False,False
TNE-0000016,ACC-02053,2025-05-24,tn_electricity,3918.02,False,False,,,,False,False
TNE-0000017,ACC-00513,2024-09-20,tn_electricity,3015.28,False,False,,,,False,False
TNE-0000018,ACC-03359,2025-11-03,tn_electricity,2455.28,False,False,,,,False,False
TNE-0000019,ACC-01802,2025-09-09,tn_electricity,4543.2,False,False,,,,False,False
TNE-0000020,ACC-02002,2025-03-22,tn_electricity,3766.04,False,False,,,,False,False
TNE-0000021,ACC-01484,2025-06-30,tn_electricity,3681.53,False,False,,,,False,False
TNE-0000022,ACC-00731,2025-01-26,tn_electricity,1916.34,False,False,,,,False,False
TNE-0000023,ACC-03708,2024-12-09,tn_electricity,4721.58,False,False,,,,False,False
TNE-0000024,ACC-03127,2025-02-02,tn_electricity,3498.39,False,False,,,,False,False
TNE-0000025,ACC-02576,2025-09-08,tn_electricity,3852.78,False,False,,,,False,False
TNE-0000026,ACC-01610,2024-01-12,tn_electricity,2069.55,False,False,,,,False,False
TNE-0000027,ACC-03292,2024-03-14,tn_electricity,4421.92,False,False,,,,False,False
TNE-0000028,ACC-02182,2024-12-12,tn_electricity,3212.82,False,False,,,,False,False
TNE-0000029,ACC-01774,2025-02-28,tn_electricity,2898.08,False,False,,,,False,False
TNE-0000030,ACC-01802,2024-05-11,tn_electricity,2797.56,False,False,,,,False,False
TNE-0000031,ACC-00909,2025-03-17,tn_electricity,5108.79,False,False,,,,False,False
TNE-0000032,ACC-00369,2024-01-18,tn_electricity,2941.03,False,False,,,,False,False
TNE-0000033,ACC-02219,2024-06-28,tn_electricity,4373.1,False,False,,,,False,False
TNE-0000034,ACC-03552,2024-12-01,tn_electricity,4714.66,False,False,,,,False,False
TNE-0000035,ACC-00256,2024-02-06,tn_electricity,2562.95,False,False,,,,False,False
TNE-0000036,ACC-03434,2025-04-07,tn_electricity,4528.67,False,False,,,,False,False
TNE-0000037,ACC-03311,2025-01-25,tn_electricity,3589.94,False,False,,,,False,False
TNE-0000038,ACC-01108,2025-02-16,tn_electricity,4744.85,False,False,,,,False,False
TNE-0000039,ACC-02527,2025-01-09,tn_electricity,2941.28,False,False,,,,False,False
TNE-0000040,ACC-00661,2025-05-19,tn_electricity,3537.5,False,False,,,,False,False
TNE-0000041,ACC-03033,2025-04-22,tn_electricity,3458.15,True,True,,,,True,False
TNE-0000042,ACC-02803,2025-04-26,tn_electricity,3513.72,False,False,,,,False,False
TNE-0000043,ACC-01419,2024-06-04,tn_electricity,3584.2,False,False,,,,False,False
TNE-0000044,ACC-00272,2025-05-16,tn_electricity,2834.19,False,False,,,,False,False
TNE-0000045,ACC-03883,2024-05-11,tn_electricity,3453.48,False,False,,,,False,False
TNE-0000046,ACC-01783,2024-01-16,tn_electricity,4333.49,False,False,,,,False,False
TNE-0000047,ACC-03573,2025-12-14,tn_electricity,3148.09,False,False,,,,False,False
TNE-0000048,ACC-02712,2024-05-10,tn_electricity,3071.9,True,True,,,,True,False
TNE-0000049,ACC-03114,2024-03-23,tn_electricity,2310.25,False,False,,,,False,False
TNE-0000050,ACC-03040,2024-08-09,tn_electricity,3229.46,False,False,,,,False,False
TNE-0000051,ACC-00779,2025-12-30,tn_electricity,2578.06,False,False,,,,False,False
TNE-0000052,ACC-01456,2025-09-22,tn_electricity,4547.42,False,False,,,,False,False
TNE-0000053,ACC-01867,2025-06-09,tn_electricity,2840.11,False,False,,,,False,False
TNE-0000054,ACC-01992,2024-05-17,tn_electricity,2444.49,False,False,,,,False,False
